INFO: setting server port as: 2222
INFO: Waiting for incoming connection...
R1:12007729.063201256,1.000000000,12007729.063217618,12007730.063261705
R2:12007730.563376876,1.000000000,12007730.563452419,12007731.563482024
R3:12007732.063584719,1.000000000,12007732.063663119,12007733.063693995
R4:12007733.563806485,1.000000000,12007733.563916888,12007734.563949235
R5:12007735.064061662,1.000000000,12007735.064127583,12007736.064157402
R6:12007736.564281914,1.000000000,12007736.564349705,12007737.564386185
R7:12007738.064513180,1.000000000,12007738.064586267,12007739.064616282
R8:12007739.564717077,1.000000000,12007739.564776750,12007740.564808426
R9:12007741.064917387,1.000000000,12007741.064983621,12007742.065027218
R10:12007742.565153286,1.000000000,12007742.565221984,12007743.565260606
R11:12007744.065361254,1.000000000,12007744.065440353,12007745.065478606
R12:12007745.565613663,1.000000000,12007745.565681370,12007746.565717086
R13:12007747.065829135,1.000000000,12007747.065910798,12007748.065936893
R14:12007748.566063834,1.000000000,12007748.566138161,12007749.566165736
R15:12007750.066284310,1.000000000,12007750.066357894,12007751.066387627
R16:12007751.566484055,1.000000000,12007751.566541787,12007752.566574439
R17:12007753.066691443,1.000000000,12007753.066754092,12007754.066780142
R18:12007754.566913391,1.000000000,12007754.567015387,12007755.567054193
R19:12007756.067182669,1.000000000,12007756.067241099,12007757.067279588
R20:12007757.567388849,1.000000000,12007757.567477878,12007758.567515032
R21:12007759.067617433,1.000000000,12007759.067696881,12007760.067726046
R22:12007760.567833172,1.000000000,12007760.567925164,12007761.567955038
R23:12007762.068062391,1.000000000,12007762.068122679,12007763.068152241
R24:12007763.568262085,1.000000000,12007763.568324406,12007764.568353852
R25:12007765.068424314,1.000000000,12007765.068484996,12007766.068516947
R26:12007766.568609336,1.000000000,12007766.568668630,12007767.568699252
R27:12007768.068793174,1.000000000,12007768.068873268,12007769.068903038
R28:12007769.569003139,1.000000000,12007769.569083715,12007770.569112839
R29:12007771.069232615,1.000000000,12007771.069291709,12007772.069321409
R30:12007772.569439361,1.000000000,12007772.569499228,12007773.569529967
R31:12007774.069645019,1.000000000,12007774.069707071,12007775.069737444
R32:12007775.569857247,1.000000000,12007775.569921538,12007776.569953423
R33:12007777.070046799,1.000000000,12007777.070111347,12007778.070147106
R34:12007778.570238380,1.000000000,12007778.570306031,12007779.570337186
R35:12007780.070470830,1.000000000,12007780.070529930,12007781.070562828
R36:12007781.570682330,1.000000000,12007781.570745988,12007782.570774147
R37:12007783.070883822,1.000000000,12007783.070942683,12007784.070970479
R38:12007784.571103767,1.000000000,12007784.571164990,12007785.571192304
R39:12007786.071302932,1.000000000,12007786.071359662,12007787.071388900
R40:12007787.571495442,1.000000000,12007787.571555741,12007788.571583524
R41:12007789.071701702,1.000000000,12007789.071772059,12007790.071801694
R42:12007790.571903106,1.000000000,12007790.571966957,12007791.571997166
R43:12007792.072101466,1.000000000,12007792.072167544,12007793.072199153
R44:12007793.572312620,1.000000000,12007793.572388556,12007794.572424473
R45:12007795.072539883,1.000000000,12007795.072597137,12007796.072627911
R46:12007796.572747158,1.000000000,12007796.572816128,12007797.572846817
R47:12007798.072934873,1.000000000,12007798.073038056,12007799.073069295
R48:12007799.573185466,1.000000000,12007799.573263019,12007800.573300077
R49:12007801.073428972,1.000000000,12007801.073501294,12007802.073530650
R50:12007802.573652407,1.000000000,12007802.573714968,12007803.573743101
R51:12007804.073798191,1.000000000,12007804.073884748,12007805.073915359
R52:12007805.574024903,1.000000000,12007805.574094655,12007806.574130023
R53:12007807.074274890,1.000000000,12007807.074345971,12007808.074375469
R54:12007808.574490733,1.000000000,12007808.574558733,12007809.574586602
R55:12007810.074692734,1.000000000,12007810.074752992,12007811.074785395
R56:12007811.5
